concept_u_id,concept_v_id,concept_u,concept_v,u_type,v_type,semantic_similarity,degree_u,degree_v,degree_min,degree_max,document_frequency_u,document_frequency_v,frequency_min,frequency_max,frequency_balance,recent_frequency_u,recent_frequency_v,recent_frequency_sum,trend_u,trend_v,age_u,age_v,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_component,same_type,material_material_pair,material_mechanism_pair,mechanism_mechanism_pair,tg_history_frequency_u,tg_history_frequency_v,tg_history_frequency_sum,tg_both_concepts_seen,cutoff_year,future_window,label,pair_probability,node_adoption_compatibility,two_stage_score,future_rank
C539540C36B,C7932B1CE8C,nanochannel-confined ion transport,chaotropic polymer-water disruption,transport_mechanism,gel_microstructure,0.24541117250919342,23,30,23,30,26,34,26,34,0.7647058823529411,16,24,40,2.6666666666666665,5.333333333333333,8,8,13,0.325,3.8181427789574736,690,1,1,0,0,0,1,3,13,16,1,2026,2027-2027,0,0.6448833651937287,1.0,0.6574596774193548,27
C10C4FF4B6C,CF4A6A0344F,hydrogen bonding,ion migration,solvation_entropy,transport_mechanism,0.16934239864349365,31,30,30,31,45,48,45,48,0.9375,31,26,57,7.333333333333333,4.666666666666667,22,33,19,0.4523809523809524,6.0622604271344995,930,1,1,0,0,0,1,15,5,20,1,2026,2027-2027,0,0.6398523462775842,1.0,0.6568548387096774,28
C8AD5B453CC,CF4A6A0344F,ion diffusion,ion migration,transport_mechanism,transport_mechanism,0.8940117359161377,23,30,23,30,45,48,45,48,0.9375,22,26,48,3.0,4.666666666666667,27,33,17,0.4722222222222222,5.567449146696426,690,1,1,1,0,0,1,7,5,12,1,2026,2027-2027,0,0.634854819815998,1.0,0.65625,29
C188B56F6F1,CC3BA67827F,ion-selectivity membrane transport,ionic-electronic coupling,transport_mechanism,transport_mechanism,0.611656665802002,26,15,15,26,58,48,48,58,0.8275862068965517,30,17,47,5.333333333333333,1.6666666666666667,27,33,12,0.41379310344827586,3.5814114975903313,390,1,1,1,0,0,1,18,1,19,1,2026,2027-2027,0,0.6248232912167443,1.0,0.6556451612903226,30
C10C4FF4B6C,C845F498233,hydrogen bonding,ion-dipole interaction,solvation_entropy,solvation_entropy,0.8224291801452637,31,21,21,31,45,14,14,45,0.3111111111111111,31,9,40,7.333333333333333,1.6666666666666667,22,7,18,0.5294117647058824,5.865604998861809,651,1,1,1,0,0,1,15,2,17,1,2026,2027-2027,0,0.6231903661339554,1.0,0.6550403225806452,31
C78D65254F9,CE4B0E242E7,phase transition,interfacial charge transfer,phase_or_species_transition,electrode_interface,0.15270546078681946,28,19,19,28,90,36,36,90,0.4,29,12,41,2.0,0.6666666666666666,23,33,10,0.2702702702702703,3.1198793626067105,532,1,1,0,0,0,1,19,11,30,1,2026,2027-2027,0,0.6197852715038427,1.0,0.6544354838709677,32
C46747A02A1,C8AD5B453CC,ion-pairing and complexation,ion diffusion,solvation_entropy,transport_mechanism,0.4042339026927948,36,23,23,36,54,45,45,54,0.8333333333333334,32,22,54,6.333333333333333,3.0,15,27,17,0.40476190476190477,5.352719445383161,828,1,1,0,0,0,1,17,7,24,1,2026,2027-2027,0,0.6062947882621452,1.0,0.6538306451612903,33
C10C4FF4B6C,CC3BA67827F,hydrogen bonding,ionic-electronic coupling,solvation_entropy,transport_mechanism,0.28039324283599854,31,15,15,31,45,48,45,48,0.9375,31,17,48,7.333333333333333,1.6666666666666667,22,33,12,0.35294117647058826,3.5971324978005037,465,1,1,0,0,0,1,15,1,16,1,2026,2027-2027,0,0.6011331170368954,1.0,0.6532258064516129,34
C78D65254F9,CF4A6A0344F,phase transition,ion migration,phase_or_species_transition,transport_mechanism,0.19312822818756104,28,30,28,30,90,48,48,90,0.5333333333333333,29,26,55,2.0,4.666666666666667,23,33,17,0.4146341463414634,5.4379337102061385,840,1,1,0,0,0,1,19,5,24,1,2026,2027-2027,0,0.5784431471140242,1.0,0.6526209677419355,35
C188B56F6F1,CE6FC512ED2,ion-selectivity membrane transport,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,0.10902120172977448,26,29,26,29,58,41,41,58,0.7068965517241379,30,28,58,5.333333333333333,5.666666666666667,27,7,18,0.4864864864864865,5.849558909024207,754,1,1,0,0,0,1,18,11,29,1,2026,2027-2027,0,0.5642419841676386,1.0,0.6520161290322581,36
C188B56F6F1,CC028ABF9C6,ion-selectivity membrane transport,anti-freezing organohydrogel design,transport_mechanism,gel_microstructure,0.06637532263994217,26,35,26,35,58,58,58,58,1.0,30,36,66,5.333333333333333,7.333333333333333,27,19,21,0.525,7.142173689390039,910,1,1,0,0,0,1,18,25,43,1,2026,2027-2027,0,0.5514269942242441,1.0,0.6514112903225806,37
C539540C36B,CEA29EF1A99,nanochannel-confined ion transport,thermal-gradient heat-transfer control,transport_mechanism,device_mechanism,0.14455559849739075,23,12,12,23,26,29,26,29,0.896551724137931,16,13,29,2.6666666666666665,1.0,8,13,8,0.2962962962962963,2.4436133554470545,276,1,1,0,0,0,1,3,17,20,1,2026,2027-2027,0,0.5472493361717026,1.0,0.6508064516129033,38
C845F498233,CFBB5A400A1,ion-dipole interaction,cation-anion thermodiffusion asymmetry,solvation_entropy,transport_mechanism,0.30315887928009033,21,33,21,33,14,43,14,43,0.32558139534883723,9,30,39,1.6666666666666667,6.333333333333333,7,10,16,0.42105263157894735,4.883544630428217,693,1,1,0,0,0,1,2,16,18,1,2026,2027-2027,0,0.5256274454805951,1.0,0.6502016129032258,39
C3002C089A5,C845F498233,ionic thermodiffusion (Soret effect),ion-dipole interaction,transport_mechanism,solvation_entropy,0.3329166769981384,44,21,21,44,136,14,14,136,0.10294117647058823,77,9,86,12.666666666666666,1.6666666666666667,27,7,16,0.32653061224489793,4.905286927994446,924,1,1,0,0,0,1,38,2,40,1,2026,2027-2027,0,0.525181636409746,1.0,0.6495967741935484,40
C188B56F6F1,C78D65254F9,ion-selectivity membrane transport,phase transition,transport_mechanism,phase_or_species_transition,0.1587248593568802,26,28,26,28,58,90,58,90,0.6444444444444445,30,29,59,5.333333333333333,2.0,27,23,16,0.42105263157894735,5.008516927141203,728,1,1,0,0,0,1,18,19,37,1,2026,2027-2027,0,0.5165107481394435,1.0,0.648991935483871,41
C96681C9193,CF4A6A0344F,ion channels,ion migration,transport_mechanism,transport_mechanism,0.7790759801864624,18,30,18,30,9,48,9,48,0.1875,6,26,32,1.6666666666666667,4.666666666666667,7,33,13,0.37142857142857144,4.217723199302086,540,1,1,1,0,0,1,2,5,7,1,2026,2027-2027,0,0.5146149796107274,1.0,0.6483870967741936,42
C10C4FF4B6C,C188B56F6F1,hydrogen bonding,ion-selectivity membrane transport,solvation_entropy,transport_mechanism,0.2386625111103058,31,26,26,31,45,58,45,58,0.7758620689655172,31,30,61,7.333333333333333,5.333333333333333,22,27,16,0.3902439024390244,4.8628551287805575,806,1,1,0,0,0,1,15,18,33,1,2026,2027-2027,0,0.5099076943714194,1.0,0.6477822580645162,43
CBFAB31D6E6,CC028ABF9C6,electrostatic interaction,anti-freezing organohydrogel design,solvation_entropy,gel_microstructure,0.17557024955749512,19,35,19,35,16,58,16,58,0.27586206896551724,7,36,43,0.3333333333333333,7.333333333333333,11,19,16,0.42105263157894735,5.0395893390675335,665,1,1,0,0,0,1,3,25,28,1,2026,2027-2027,0,0.5062745500073264,1.0,0.6471774193548387,44
C7932B1CE8C,CB25BC3FC14,chaotropic polymer-water disruption,double/interpenetrating network,gel_microstructure,gel_microstructure,0.3435768783092499,30,24,24,30,34,18,18,34,0.5294117647058824,24,11,35,5.333333333333333,1.3333333333333333,8,4,15,0.38461538461538464,4.543688787406038,720,1,1,1,0,0,1,13,9,22,1,2026,2027-2027,0,0.4951433854534516,1.0,0.6459677419354839,45
C3002C089A5,C46A965349B,ionic thermodiffusion (Soret effect),anion transport,transport_mechanism,transport_mechanism,0.4975960850715637,44,16,16,44,136,6,6,136,0.04411764705882353,77,4,81,12.666666666666666,1.0,27,6,14,0.30434782608695654,4.578920251499523,704,1,1,1,0,0,1,38,1,39,1,2026,2027-2027,0,0.48865993208576264,1.0,0.6453629032258065,46
C539540C36B,CE6FC512ED2,nanochannel-confined ion transport,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,0.1376950889825821,23,29,23,29,26,41,26,41,0.6341463414634146,16,28,44,2.6666666666666665,5.666666666666667,8,7,14,0.3684210526315789,4.217612282761154,667,1,1,0,0,0,1,3,11,14,1,2026,2027-2027,0,0.48786775402209603,1.0,0.644758064516129,47
C78D65254F9,CBFAB31D6E6,phase transition,electrostatic interaction,phase_or_species_transition,solvation_entropy,0.20959270000457764,28,19,19,28,90,16,16,90,0.17777777777777778,29,7,36,2.0,0.3333333333333333,23,11,12,0.34285714285714286,3.6092720699490943,532,1,1,0,0,0,1,19,3,22,1,2026,2027-2027,0,0.4771500167857726,1.0,0.6441532258064516,48
C46747A02A1,C46A965349B,ion-pairing and complexation,anion transport,solvation_entropy,transport_mechanism,0.26393207907676697,36,16,16,36,54,6,6,54,0.1111111111111111,32,4,36,6.333333333333333,1.0,15,6,13,0.3333333333333333,4.258718890630231,576,1,1,0,0,0,1,17,1,18,1,2026,2027-2027,0,0.4714766242182573,1.0,0.6435483870967742,49
C46A965349B,CB25BC3FC14,anion transport,double/interpenetrating network,transport_mechanism,gel_microstructure,0.1609765589237213,16,24,16,24,6,18,6,18,0.3333333333333333,4,11,15,1.0,1.3333333333333333,6,4,9,0.2903225806451613,2.73553550918315,384,1,1,0,0,0,1,1,9,10,1,2026,2027-2027,0,0.4644186721416451,1.0,0.6429435483870968,50
C08389FD6C6,CBFAB31D6E6,moisture-gradient ion transport,electrostatic interaction,transport_mechanism,solvation_entropy,0.27509036660194397,30,19,19,30,82,16,16,82,0.1951219512195122,42,7,49,5.666666666666667,0.3333333333333333,24,11,13,0.3611111111111111,3.9803043633362183,570,1,1,0,0,0,1,15,3,18,1,2026,2027-2027,0,0.4610530455675861,1.0,0.6423387096774194,51
C10C4FF4B6C,C8AD5B453CC,hydrogen bonding,ion diffusion,solvation_entropy,transport_mechanism,0.18701887130737305,31,23,23,31,45,45,45,45,1.0,31,22,53,7.333333333333333,3.0,22,27,16,0.42105263157894735,4.890375459701587,713,1,1,0,0,0,1,15,7,22,1,2026,2027-2027,0,0.4602361694269617,1.0,0.6417338709677419,52
CD486BA800F,CE6FC512ED2,host-guest complexation,dynamic crosslinked gel network,solvation_entropy,gel_microstructure,0.21602459251880646,9,29,9,29,5,41,5,41,0.12195121951219512,3,28,31,1.0,5.666666666666667,23,7,7,0.22580645161290322,2.385879718203811,261,1,1,0,0,0,1,3,11,14,1,2026,2027-2027,0,0.45854969276678975,1.0,0.6411290322580645,53
CF69DD93A68,CFBB5A400A1,selective ion transport,cation-anion thermodiffusion asymmetry,transport_mechanism,transport_mechanism,0.4079816937446594,11,33,11,33,12,43,12,43,0.27906976744186046,11,30,41,3.3333333333333335,6.333333333333333,5,10,8,0.2222222222222222,2.3487934299893993,363,1,1,1,0,0,1,1,16,17,1,2026,2027-2027,0,0.4544851352512993,1.0,0.6405241935483871,54
C23B9BED21A,C3002C089A5,ionic conduction,ionic thermodiffusion (Soret effect),transport_mechanism,transport_mechanism,0.606113851070404,11,44,11,44,55,136,55,136,0.40441176470588236,12,77,89,-0.3333333333333333,12.666666666666666,34,27,10,0.2222222222222222,3.2232615252565697,484,1,1,1,0,0,1,4,38,42,1,2026,2027-2027,0,0.4495608439538856,1.0,0.6399193548387097,55
C10C4FF4B6C,C539540C36B,hydrogen bonding,nanochannel-confined ion transport,solvation_entropy,transport_mechanism,0.2157347947359085,31,23,23,31,45,26,26,45,0.5777777777777777,31,16,47,7.333333333333333,2.6666666666666665,22,8,14,0.35,4.166926462793911,713,1,1,0,0,0,1,15,3,18,1,2026,2027-2027,0,0.4489767095284309,1.0,0.6393145161290322,56
C23B9BED21A,CF4A6A0344F,ionic conduction,ion migration,transport_mechanism,transport_mechanism,0.8135492205619812,11,30,11,30,55,48,48,55,0.8727272727272727,12,26,38,-0.3333333333333333,4.666666666666667,34,33,9,0.28125,2.832831031175568,330,1,1,1,0,0,1,4,5,9,1,2026,2027-2027,0,0.4488853745015672,1.0,0.6387096774193548,57
C08389FD6C6,C96681C9193,moisture-gradient ion transport,ion channels,transport_mechanism,transport_mechanism,0.6929123401641846,30,18,18,30,82,9,9,82,0.10975609756097561,42,6,48,5.666666666666667,1.6666666666666667,24,7,14,0.4117647058823529,4.392957355907628,540,1,1,1,0,0,1,15,2,17,1,2026,2027-2027,0,0.44671572328716486,1.0,0.6381048387096775,58
C7932B1CE8C,CC3BA67827F,chaotropic polymer-water disruption,ionic-electronic coupling,gel_microstructure,transport_mechanism,0.17311790585517883,30,15,15,30,34,48,34,48,0.7083333333333334,24,17,41,5.333333333333333,1.6666666666666667,8,33,11,0.3235294117647059,3.2483488139640664,450,1,1,0,0,0,1,13,1,14,1,2026,2027-2027,0,0.44175735154244133,1.0,0.6375,59
C23B9BED21A,C78D65254F9,ionic conduction,phase transition,transport_mechanism,phase_or_species_transition,0.18714967370033264,11,28,11,28,55,90,55,90,0.6111111111111112,12,29,41,-0.3333333333333333,2.0,34,23,7,0.21875,2.161838261305366,308,1,1,0,0,0,1,4,19,23,1,2026,2027-2027,0,0.43870798229745595,1.0,0.6362903225806452,60
C7932B1CE8C,CFBB5A400A1,chaotropic polymer-water disruption,cation-anion thermodiffusion asymmetry,gel_microstructure,transport_mechanism,0.12836217880249023,30,33,30,33,34,43,34,43,0.7906976744186046,24,30,54,5.333333333333333,6.333333333333333,8,10,20,0.46511627906976744,6.24713896187522,990,1,1,0,0,0,1,13,16,29,1,2026,2027-2027,0,0.4377275354874171,1.0,0.6356854838709678,61
C78D65254F9,CE6FC512ED2,phase transition,dynamic crosslinked gel network,phase_or_species_transition,gel_microstructure,0.1266450583934784,28,29,28,29,90,41,41,90,0.45555555555555555,29,28,57,2.0,5.666666666666667,23,7,17,0.425,5.188922414461899,812,1,1,0,0,0,1,19,11,30,1,2026,2027-2027,0,0.4249506508828495,1.0,0.6350806451612904,62
C8AD5B453CC,CB25BC3FC14,ion diffusion,double/interpenetrating network,transport_mechanism,gel_microstructure,0.15373817086219788,23,24,23,24,45,18,18,45,0.4,22,11,33,3.0,1.3333333333333333,27,4,14,0.42424242424242425,4.310434410899068,552,1,1,0,0,0,1,7,9,16,1,2026,2027-2027,0,0.42187123474667115,1.0,0.6338709677419355,63
C78D65254F9,CC3BA67827F,phase transition,ionic-electronic coupling,phase_or_species_transition,transport_mechanism,0.14667001366615295,28,15,15,28,90,48,48,90,0.5333333333333333,29,17,46,2.0,1.6666666666666667,23,33,11,0.34375,3.4042306473180464,420,1,1,0,0,0,1,19,1,20,1,2026,2027-2027,0,0.4200500664486006,1.0,0.6332661290322581,64
C8AD5B453CC,CE6FC512ED2,ion diffusion,dynamic crosslinked gel network,transport_mechanism,gel_microstructure,0.12796111404895782,23,29,23,29,45,41,41,45,0.9111111111111111,22,28,50,3.0,5.666666666666667,27,7,16,0.4444444444444444,4.94106127966883,667,1,1,0,0,0,1,7,11,18,1,2026,2027-2027,0,0.41294818560346086,1.0,0.6320564516129032,65
C3002C089A5,C96681C9193,ionic thermodiffusion (Soret effect),ion channels,transport_mechanism,transport_mechanism,0.4429627060890198,44,18,18,44,136,9,9,136,0.0661764705882353,77,6,83,12.666666666666666,1.6666666666666667,27,7,15,0.3191489361702128,4.936612432136139,792,1,1,1,0,0,1,38,2,40,1,2026,2027-2027,0,0.4085238161240619,1.0,0.6314516129032258,66
C7932B1CE8C,CF4A6A0344F,chaotropic polymer-water disruption,ion migration,gel_microstructure,transport_mechanism,0.174262136220932,30,30,30,30,34,48,34,48,0.7083333333333334,24,26,50,5.333333333333333,4.666666666666667,8,33,18,0.42857142857142855,5.713476743298063,900,1,1,0,0,0,1,13,5,18,1,2026,2027-2027,0,0.4060029792766387,1.0,0.6308467741935484,67
CC028ABF9C6,CF4A6A0344F,anti-freezing organohydrogel design,ion migration,gel_microstructure,transport_mechanism,0.007837857119739056,35,30,30,35,58,48,48,58,0.8275862068965517,36,26,62,7.333333333333333,4.666666666666667,19,33,22,0.5116279069767442,7.593053997629763,1050,1,1,0,0,0,1,25,5,30,1,2026,2027-2027,0,0.396789713929069,1.0,0.6296370967741935,68
C46747A02A1,CBFAB31D6E6,ion-pairing and complexation,electrostatic interaction,solvation_entropy,solvation_entropy,0.6686769127845764,36,19,19,36,54,16,16,54,0.2962962962962963,32,7,39,6.333333333333333,0.3333333333333333,15,11,17,0.4473684210526316,5.608388791155963,684,1,1,1,0,0,1,17,3,20,1,2026,2027-2027,0,0.3950119203084656,1.0,0.6290322580645161,69
C78D65254F9,C845F498233,phase transition,ion-dipole interaction,phase_or_species_transition,solvation_entropy,0.2121586799621582,28,21,21,28,90,14,14,90,0.15555555555555556,29,9,38,2.0,1.6666666666666667,23,7,13,0.3611111111111111,3.843863664043243,588,1,1,0,0,0,1,19,2,21,1,2026,2027-2027,0,0.3920175368048329,1.0,0.6284274193548387,70
